Country,Total confirmed cases,Total deaths,Confirmed recoveries,Cases confirmed today,Deaths today,Recoveries confirmed today,Total confirmed,Total_confirmed_today,Total_deaths,Total_deaths_today,Total_Recoveries,Total_Recoveries_today,Active_confirmed,Critical,Mortality_close,Mortality_confirmed,Total_tests,Total_tests_today
afghanistan,273,6,10,36,2,5,,,,,,,,,,,,
san-marino,245,30,21,9,2,8,,,,,,,,,,,,
cuba,233,6,13,21,0,1,,,,,,,,,,,,
vietnam,233,0,75,15,0,12,,,,,,,,,,,,
oman,231,1,57,21,0,23,,,,,,,,,,,,
honduras,219,14,3,47,4,0,,,,,,,,,,,,
uzbekistan,205,2,25,24,0,13,,,,,,,,,,,,
ghana,204,5,31,9,0,0,,,,,,,,,,,,
malta,196,0,2,8,0,0,,,,,,,,,,,,
senegal,195,1,55,5,0,10,,,,,,,,,,,,
ivory-coast,194,1,15,4,0,6,,,,,,,,,,,,
channel-islands,193,3,0,21,0,0,,,,,,,,,,,,
nigeria,184,2,20,10,0,11,,,,,,,,,,,,
faroe-islands,177,0,81,4,0,6,,,,,,,,,,,,
mauritius,169,7,0,8,1,0,,,,,,,,,,,,
palestine,161,1,18,27,0,0,,,,,,,,,,,,
sri-lanka,151,4,21,5,1,0,,,,,,,,,,,,
venezuela,146,5,43,2,2,0,,,,,,,,,,,,
montenegro,144,2,0,21,0,0,,,,,,,,,,,,
martinique,138,3,27,3,0,0,,,,,,,,,,,,
georgia,134,0,26,17,0,3,,,,,,,,,,,,
congo-kinshasa,134,13,3,25,4,0,,,,,,,,,,,,
brunei,133,1,56,2,0,4,,,,,,,,,,,,
guadeloupe,128,6,24,3,0,0,,,,,,,,,,,,
kosovo,125,1,10,0,0,0,,,,,,,,,,,,
bolivia,123,8,1,8,1,0,,,,,,,,,,,,
mayotte,116,1,10,15,0,0,,,,,,,,,,,,
kyrgyzstan,116,0,5,5,0,2,,,,,,,,,,,,
cambodia,110,0,34,1,0,9,,,,,,,,,,,,
kenya,110,3,4,29,2,1,,,,,,,,,,,,
niger,98,5,0,24,0,0,,,,,,,,,,,,
isle-of-man,95,1,0,27,0,0,,,,,,,,,,,,
trinidad-and-tobago,94,5,1,4,0,0,,,,,,,,,,,,
gibraltar,88,0,46,7,0,12,,,,,,,,,,,,
rwanda,84,0,0,2,0,0,,,,,,,,,,,,
paraguay,77,3,2,8,0,1,,,,,,,,,,,,
liechtenstein,75,0,0,3,0,0,,,,,,,,,,,,
aruba,60,0,1,5,0,0,,,,,,,,,,,,
monaco,60,1,2,5,0,0,,,,,,,,,,,,
madagascar,59,0,0,2,0,0,,,,,,,,,,,,
bangladesh,56,6,25,2,0,0,,,,,,,,,,,,
guinea,52,0,0,22,0,0,,,,,,,,,,,,
french-guiana,51,0,15,0,0,0,,,,,,,,,,,,
jamaica,47,3,2,3,0,0,,,,,,,,,,,,
guatemala,47,1,12,8,0,0,,,,,,,,,,,,
barbados,46,0,0,1,0,0,,,,,,,,,,,,
uganda,45,0,0,1,0,0,,,,,,,,,,,,
el-salvador,41,2,0,8,0,0,,,,,,,,,,,,
macau,41,0,10,0,0,0,,,,,,,,,,,,
djibouti,40,0,0,7,0,0,,,,,,,,,,,,
zambia,39,1,0,3,1,0,,,,,,,,,,,,
togo,39,2,17,3,0,7,,,,,,,,,,,,
mali,36,3,0,5,0,0,,,,,,,,,,,,
bermuda,35,0,11,3,0,1,,,,,,,,,,,,
ethiopia,29,0,3,0,0,1,,,,,,,,,,,,
cayman-islands,28,1,0,6,0,0,,,,,,,,,,,,
bahamas,24,1,1,3,0,0,,,,,,,,,,,,
saint-martin,22,1,2,7,0,0,,,,,,,,,,,,
eritrea,22,0,0,7,0,0,,,,,,,,,,,,
congo-brazzaville,22,2,2,0,0,2,,,,,,,,,,,,
gabon,21,1,0,3,0,0,,,,,,,,,,,,
burma,20,1,0,4,0,0,,,,,,,,,,,,
myanmar,20,1,0,4,0,0,,,,,,,,,,,,
tanzania,20,1,2,0,0,1,,,,,,,,,,,,
guyana,19,4,0,0,1,0,,,,,,,,,,,,
maldives,19,0,13,0,0,0,,,,,,,,,,,,
new-caledonia,18,0,1,2,0,0,,,,,,,,,,,,
sint-maarten,18,1,6,2,0,0,,,,,,,,,,,,
haiti,16,0,1,0,0,0,,,,,,,,,,,,
syria,16,2,0,6,0,0,,,,,,,,,,,,
equatorial-guinea,15,0,1,0,0,0,,,,,,,,,,,,
mongolia,14,0,2,0,0,0,,,,,,,,,,,,
namibia,14,0,3,0,0,1,,,,,,,,,,,,
benin,13,0,1,0,0,0,,,,,,,,,,,,
saint-lucia,13,0,1,0,0,0,,,,,,,,,,,,
dominica,12,0,0,0,0,0,,,,,,,,,,,,
libya,11,1,0,1,1,0,,,,,,,,,,,,
curaçao,11,1,3,0,0,0,,,,,,,,,,,,
greenland,10,0,2,0,0,0,,,,,,,,,,,,
suriname,10,0,0,0,0,0,,,,,,,,,,,,
grenada,10,0,0,1,0,0,,,,,,,,,,,,
mozambique,10,0,0,0,0,0,,,,,,,,,,,,
laos,10,0,0,0,0,0,,,,,,,,,,,,
seychelles,10,0,0,0,0,0,,,,,,,,,,,,
guinea-bissau,9,0,0,0,0,0,,,,,,,,,,,,
zimbabwe,9,1,0,1,0,0,,,,,,,,,,,,
antigua-and-barbuda,9,0,0,2,0,0,,,,,,,,,,,,
eswatini,9,0,0,0,0,0,,,,,,,,,,,,
ms-zaandam,9,2,0,0,0,0,,,,,,,,,,,,
chad,8,0,0,1,0,0,,,,,,,,,,,,
angola,8,2,1,0,0,0,,,,,,,,,,,,
sudan,8,2,2,1,0,0,,,,,,,,,,,,
fiji,7,0,0,2,0,0,,,,,,,,,,,,
vatican-city,7,0,0,1,0,0,,,,,,,,,,,,
nepal,6,0,1,1,0,0,,,,,,,,,,,,
cabo-verde,6,1,0,0,0,0,,,,,,,,,,,,
liberia,6,0,0,0,0,0,,,,,,,,,,,,
mauritania,6,1,2,0,0,0,,,,,,,,,,,,
st-barth,6,0,1,0,0,0,,,,,,,,,,,,
somalia,5,0,1,0,0,0,,,,,,,,,,,,
turks-and-caicos,5,0,0,0,0,0,,,,,,,,,,,,
bhutan,5,0,1,1,0,1,,,,,,,,,,,,
nicaragua,5,1,0,0,0,0,,,,,,,,,,,,
montserrat,5,0,0,0,0,0,,,,,,,,,,,,
botswana,4,1,0,0,0,0,,,,,,,,,,,,
gambia,4,1,2,0,0,0,,,,,,,,,,,,
car,3,0,0,0,0,0,,,,,,,,,,,,
malawi,3,0,0,3,0,0,,,,,,,,,,,,
belize,3,0,0,0,0,0,,,,,,,,,,,,
anguilla,3,0,0,1,0,0,,,,,,,,,,,,
british-virgin-islands,3,0,0,0,0,0,,,,,,,,,,,,
burundi,3,0,0,1,0,0,,,,,,,,,,,,
caribbean-netherlands,2,0,0,0,0,0,,,,,,,,,,,,
st-vincent-grenadines,2,0,1,0,0,0,,,,,,,,,,,,
sierra-leone,2,0,0,0,0,0,,,,,,,,,,,,
papua-new-guinea,1,0,0,0,0,0,,,,,,,,,,,,
timor-leste,1,0,0,0,0,0,,,,,,,,,,,,
united-states,"276,037","7,385","12,268","31,807","1,502","1,865",,,,,,,,,,,,
italy,"119,827","14,681","19,758","4,585",766,"1,480",,,,,,,,,,,,
spain,"119,199","11,198","30,513","7,134",850,"3,770",,,,,,,,,,,,
germany,"91,159","1,275","24,575","6,365",168,"2,135",,,,,,,,,,,,
china,"82,492","3,326","76,741",79,4,195,,,,,,,,,,,,
france,"64,338","6,507","14,008","5,233","1,120","1,580",,,,,,,,,,,,
iran,"53,183","3,294","17,935","2,715",134,"1,224",,,,,,,,,,,,
united-kingdom,"38,672","3,611",208,"4,521",685,16,,,,,,,,,,,,
turkey,"20,921",425,484,"2,786",69,69,,,,,,,,,,,,
switzerland,"19,606",591,"4,846",779,55,833,,,,,,,,,,,,
belgium,"16,770","1,143","2,872","1,422",132,377,,,,,,,,,,,,
netherlands,"15,808","1,489",257,"1,051",150,6,,,,,,,,,,,,
canada,"12,416",208,"2,186","1,133",35,207,,,,,,,,,,,,
austria,"11,524",168,"2,022",395,10,273,,,,,,,,,,,,
south-korea,"10,062",174,"6,021",86,5,193,,,,,,,,,,,,
portugal,"9,886",246,68,852,37,0,,,,,,,,,,,,
brazil,"9,194",363,127,"1,150",39,0,,,,,,,,,,,,
israel,"7,428",40,403,571,4,65,,,,,,,,,,,,
sweden,"6,131",358,205,563,50,102,,,,,,,,,,,,
australia,"5,454",28,649,140,0,64,,,,,,,,,,,,
norway,"5,370",59,32,223,9,0,,,,,,,,,,,,
ireland,"4,273",120,5,424,22,0,,,,,,,,,,,,
czechia,"4,190",53,72,332,9,5,,,,,,,,,,,,
russia,"4,149",34,281,601,4,46,,,,,,,,,,,,
denmark,"3,936",139,"1,284",373,16,114,,,,,,,,,,,,
chile,"3,737",22,427,333,4,92,,,,,,,,,,,,
poland,"3,383",71,56,437,14,0,,,,,,,,,,,,
ecuador,"3,368",145,65,205,25,0,,,,,,,,,,,,
malaysia,"3,333",53,827,217,3,60,,,,,,,,,,,,
romania,"3,183",133,283,445,18,16,,,,,,,,,,,,
philippines,"3,018",136,52,385,29,1,,,,,,,,,,,,
pakistan,"2,686",40,126,265,6,1,,,,,,,,,,,,
japan,"2,617",63,514,122,1,42,,,,,,,,,,,,
luxembourg,"2,612",31,500,125,1,420,,,,,,,,,,,,
india,"2,567",72,192,24,0,1,,,,,,,,,,,,
saudi-arabia,"2,039",25,351,154,4,23,,,,,,,,,,,,
indonesia,"1,986",181,134,196,11,22,,,,,,,,,,,,
thailand,"1,978",19,612,103,4,107,,,,,,,,,,,,
panama,"1,673",41,10,198,4,1,,,,,,,,,,,,
finland,"1,615",20,300,97,1,0,,,,,,,,,,,,
greece,"1,613",63,78,69,10,17,,,,,,,,,,,,
peru,"1,595",61,537,181,6,0,,,,,,,,,,,,
mexico,"1,510",50,633,132,13,598,,,,,,,,,,,,
south-africa,"1,505",9,95,43,4,45,,,,,,,,,,,,
dominican-republic,"1,488",68,16,108,8,0,,,,,,,,,,,,
serbia,"1,476",39,54,305,8,12,,,,,,,,,,,,
iceland,"1,364",4,309,45,0,25,,,,,,,,,,,,
argentina,"1,353",42,266,88,6,10,,,,,,,,,,,,
colombia,"1,267",25,55,106,6,0,,,,,,,,,,,,
united-arab-emirates,"1,264",9,108,240,1,12,,,,,,,,,,,,
algeria,"1,171",105,62,185,19,1,,,,,,,,,,,,
singapore,"1,114",5,282,65,1,16,,,,,,,,,,,,
croatia,"1,079",8,92,68,1,4,,,,,,,,,,,,
qatar,"1,075",3,93,126,0,21,,,,,,,,,,,,
ukraine,"1,072",27,22,175,5,3,,,,,,,,,,,,
egypt,985,66,216,120,8,15,,,,,,,,,,,,
estonia,961,12,48,103,1,3,,,,,,,,,,,,
slovenia,934,20,70,37,3,0,,,,,,,,,,,,
new-zealand,868,1,103,71,0,11,,,,,,,,,,,,
hong-kong,845,4,173,43,0,19,,,,,,,,,,,,
iraq,820,54,226,48,0,24,,,,,,,,,,,,
morocco,791,48,57,83,4,26,,,,,,,,,,,,
armenia,736,7,43,73,0,10,,,,,,,,,,,,
cruise-ship,712,11,619,0,0,0,,,,,,,,,,,,
lithuania,696,9,7,47,0,0,,,,,,,,,,,,
bahrain,672,4,382,29,0,1,,,,,,,,,,,,
hungary,623,26,43,38,5,1,,,,,,,,,,,,
moldova,591,8,26,86,2,3,,,,,,,,,,,,
bosnia-and-herzegovina,579,17,27,46,1,7,,,,,,,,,,,,
cameroon,509,8,17,203,1,7,,,,,,,,,,,,
lebanon,508,17,50,14,1,4,,,,,,,,,,,,
tunisia,495,18,5,40,4,0,,,,,,,,,,,,
latvia,493,1,1,35,1,0,,,,,,,,,,,,
bulgaria,485,14,30,28,4,5,,,,,,,,,,,,
kazakhstan,464,6,29,29,3,2,,,,,,,,,,,,
slovakia,450,1,10,24,0,5,,,,,,,,,,,,
azerbaijan,443,5,32,43,0,6,,,,,,,,,,,,
andorra,439,16,16,11,1,6,,,,,,,,,,,,
north-macedonia,430,12,20,46,1,3,,,,,,,,,,,,
kuwait,417,0,82,75,0,1,,,,,,,,,,,,
costa-rica,416,2,11,20,0,5,,,,,,,,,,,,
cyprus,396,11,28,40,1,0,,,,,,,,,,,,
uruguay,386,4,86,36,0,24,,,,,,,,,,,,
belarus,351,4,53,47,0,0,,,,,,,,,,,,
taiwan,348,5,50,9,0,0,,,,,,,,,,,,
réunion,321,0,40,13,0,0,,,,,,,,,,,,
jordan,310,5,58,11,0,13,,,,,,,,,,,,
albania,304,17,89,27,1,13,,,,,,,,,,,,
burkina-faso,302,16,50,14,0,0,,,,,,,,,,,,
afghanistan,281,6,10,8,0,0,,,,,,,,,,,,
cuba,269,6,15,36,0,2,,,,,,,,,,,,
oman,252,1,57,21,0,0,,,,,,,,,,,,
san-marino,251,32,26,6,2,5,,,,,,,,,,,,
vietnam,239,0,85,6,0,10,,,,,,,,,,,,
channel-islands,232,4,13,39,1,13,,,,,,,,,,,,
uzbekistan,227,2,25,22,0,0,,,,,,,,,,,,
honduras,222,15,3,3,1,0,,,,,,,,,,,,
ivory-coast,218,1,19,24,0,4,,,,,,,,,,,,
nigeria,210,4,25,26,2,5,,,,,,,,,,,,
senegal,207,1,66,12,0,11,,,,,,,,,,,,
ghana,205,5,31,1,0,0,,,,,,,,,,,,
malta,202,0,2,6,0,0,,,,,,,,,,,,
palestine,194,1,21,33,0,3,,,,,,,,,,,,
mauritius,186,7,0,17,0,0,,,,,,,,,,,,
faroe-islands,179,0,91,2,0,10,,,,,,,,,,,,
montenegro,174,2,1,30,0,1,,,,,,,,,,,,
sri-lanka,159,4,24,8,0,3,,,,,,,,,,,,
georgia,155,0,28,21,0,2,,,,,,,,,,,,
venezuela,153,7,52,7,2,9,,,,,,,,,,,,
congo-kinshasa,148,16,3,14,3,0,,,,,,,,,,,,
martinique,143,3,27,5,0,0,,,,,,,,,,,,
brunei,134,1,65,1,0,9,,,,,,,,,,,,
bolivia,132,9,1,9,1,0,,,,,,,,,,,,
kyrgyzstan,130,1,6,14,1,1,,,,,,,,,,,,
guadeloupe,130,7,24,2,1,0,,,,,,,,,,,,
mayotte,128,2,10,12,1,0,,,,,,,,,,,,
kosovo,126,1,10,1,0,0,,,,,,,,,,,,
kenya,122,4,4,12,1,0,,,,,,,,,,,,
niger,120,5,0,22,0,0,,,,,,,,,,,,
cambodia,114,0,35,4,0,1,,,,,,,,,,,,
isle-of-man,114,1,0,19,0,0,,,,,,,,,,,,
trinidad-and-tobago,98,6,1,4,1,0,,,,,,,,,,,,
gibraltar,95,0,46,7,0,0,,,,,,,,,,,,
paraguay,92,3,6,15,0,4,,,,,,,,,,,,
rwanda,89,0,0,5,0,0,,,,,,,,,,,,
liechtenstein,75,0,0,0,0,0,,,,,,,,,,,,
guinea,73,0,2,21,0,2,,,,,,,,,,,,
madagascar,70,0,0,11,0,0,,,,,,,,,,,,
monaco,64,1,3,4,0,1,,,,,,,,,,,,
aruba,62,0,1,2,0,0,,,,,,,,,,,,
bangladesh,61,6,26,5,0,1,,,,,,,,,,,,
french-guiana,57,0,22,6,0,7,,,,,,,,,,,,
jamaica,53,3,7,6,0,5,,,,,,,,,,,,
barbados,51,0,0,5,0,0,,,,,,,,,,,,
guatemala,50,1,12,3,0,0,,,,,,,,,,,,
djibouti,49,0,8,9,0,8,,,,,,,,,,,,
uganda,48,0,0,3,0,0,,,,,,,,,,,,
el-salvador,46,3,0,5,1,0,,,,,,,,,,,,
macau,42,0,10,1,0,0,,,,,,,,,,,,
togo,40,3,17,1,1,0,,,,,,,,,,,,
zambia,39,1,2,0,0,2,,,,,,,,,,,,
mali,39,3,0,3,0,0,,,,,,,,,,,,
ethiopia,35,0,3,6,0,0,,,,,,,,,,,,
bermuda,35,0,14,0,0,3,,,,,,,,,,,,
cayman-islands,29,1,1,1,0,1,,,,,,,,,,,,
bahamas,24,3,0,0,2,0,,,,,,,,,,,,
sint-maarten,23,4,6,5,3,0,,,,,,,,,,,,
guyana,23,4,0,4,0,0,,,,,,,,,,,,
eritrea,22,0,0,0,0,0,,,,,,,,,,,,
saint-martin,22,1,2,0,0,0,,,,,,,,,,,,
congo-brazzaville,22,2,2,0,0,0,,,,,,,,,,,,
gabon,21,1,1,0,0,1,,,,,,,,,,,,
tanzania,20,1,3,0,0,1,,,,,,,,,,,,
myanmar,20,1,0,0,0,0,,,,,,,,,,,,
maldives,19,0,13,0,0,0,,,,,,,,,,,,
haiti,18,0,1,2,0,0,,,,,,,,,,,,
new-caledonia,18,0,1,0,0,0,,,,,,,,,,,,
libya,17,1,0,6,0,0,,,,,,,,,,,,
benin,16,0,2,3,0,1,,,,,,,,,,,,
syria,16,2,0,0,0,0,,,,,,,,,,,,
equatorial-guinea,16,0,1,1,0,0,,,,,,,,,,,,
guinea-bissau,15,0,0,6,0,0,,,,,,,,,,,,
antigua-and-barbuda,15,0,0,6,0,0,,,,,,,,,,,,
mongolia,14,0,2,0,0,0,,,,,,,,,,,,
namibia,14,0,3,0,0,0,,,,,,,,,,,,
dominica,14,0,0,2,0,0,,,,,,,,,,,,
saint-lucia,13,0,1,0,0,0,,,,,,,,,,,,
grenada,12,0,0,2,0,0,,,,,,,,,,,,
curaçao,11,1,3,0,0,0,,,,,,,,,,,,
mozambique,10,0,0,0,0,0,,,,,,,,,,,,
seychelles,10,0,0,0,0,0,,,,,,,,,,,,
laos,10,0,0,0,0,0,,,,,,,,,,,,
suriname,10,1,0,0,1,0,,,,,,,,,,,,
sudan,10,2,2,2,0,0,,,,,,,,,,,,
greenland,10,0,3,0,0,1,,,,,,,,,,,,
eswatini,9,0,0,0,0,0,,,,,,,,,,,,
ms-zaandam,9,2,0,0,0,0,,,,,,,,,,,,
zimbabwe,9,1,0,0,0,0,,,,,,,,,,,,
chad,8,0,0,0,0,0,,,,,,,,,,,,
car,8,0,0,5,0,0,,,,,,,,,,,,
angola,8,2,1,0,0,0,,,,,,,,,,,,
somalia,7,0,1,2,0,0,,,,,,,,,,,,
liberia,7,0,0,1,0,0,,,,,,,,,,,,
st-vincent-grenadines,7,0,1,5,0,0,,,,,,,,,,,,
fiji,7,0,0,0,0,0,,,,,,,,,,,,
vatican-city,7,0,0,0,0,0,,,,,,,,,,,,
nepal,6,0,1,0,0,0,,,,,,,,,,,,
cabo-verde,6,1,0,0,0,0,,,,,,,,,,,,
mauritania,6,1,2,0,0,0,,,,,,,,,,,,
st-barth,6,0,1,0,0,0,,,,,,,,,,,,
montserrat,6,0,0,1,0,0,,,,,,,,,,,,
nicaragua,5,1,0,0,0,0,,,,,,,,,,,,
bhutan,5,0,2,0,0,1,,,,,,,,,,,,
turks-and-caicos,5,0,0,0,0,0,,,,,,,,,,,,
botswana,4,1,0,0,0,0,,,,,,,,,,,,
belize,4,0,0,1,0,0,,,,,,,,,,,,
gambia,4,1,2,0,0,0,,,,,,,,,,,,
british-virgin-islands,3,0,0,0,0,0,,,,,,,,,,,,
malawi,3,0,0,0,0,0,,,,,,,,,,,,
anguilla,3,0,0,0,0,0,,,,,,,,,,,,
burundi,3,0,0,0,0,0,,,,,,,,,,,,
caribbean-netherlands,2,0,0,0,0,0,,,,,,,,,,,,
sierra-leone,2,0,0,0,0,0,,,,,,,,,,,,
papua-new-guinea,1,0,0,0,0,0,,,,,,,,,,,,
timor-leste,1,0,0,0,0,0,,,,,,,,,,,,
falkland-islands,1,0,0,1,0,0,,,,,,,,,,,,
united-states,"309,728","8,441","14,741","32,763","1,050","2,458",,,,,,,,,,,,
spain,"126,168","11,947","34,219","6,969",749,"3,706",,,,,,,,,,,,
italy,"124,632","15,362","20,996","4,805",681,"1,238",,,,,,,,,,,,
germany,"96,092","1,444","26,400","4,933",169,"1,825",,,,,,,,,,,,
france,"89,953","7,560","15,438","25,615","1,053","1,430",,,,,,,,,,,,
china,"82,524","3,330","76,927",32,4,186,,,,,,,,,,,,
iran,"55,743","3,452","19,736","2,560",158,"1,801",,,,,,,,,,,,
united-kingdom,"42,459","4,320",215,"3,787",709,7,,,,,,,,,,,,
turkey,"23,934",501,786,"3,013",76,302,,,,,,,,,,,,
switzerland,"20,505",666,"6,415",899,75,"1,569",,,,,,,,,,,,
belgium,"18,431","1,283","3,247","1,661",140,375,,,,,,,,,,,,
netherlands,"16,714","1,655",257,906,166,0,,,,,,,,,,,,
canada,"13,912",231,"2,595","1,496",23,409,,,,,,,,,,,,
austria,"11,781",186,"2,507",257,18,485,,,,,,,,,,,,
portugal,"10,524",266,75,638,20,7,,,,,,,,,,,,
brazil,"10,360",445,127,"1,166",82,0,,,,,,,,,,,,
south-korea,"10,156",177,"6,325",94,3,304,,,,,,,,,,,,
israel,"7,851",44,427,423,4,24,,,,,,,,,,,,
sweden,"6,443",373,205,312,15,0,,,,,,,,,,,,
australia,"5,550",30,701,96,2,52,,,,,,,,,,,,
norway,"5,550",62,32,180,3,0,,,,,,,,,,,,
russia,"4,731",43,333,582,9,52,,,,,,,,,,,,
ireland,"4,604",137,25,331,17,0,,,,,,,,,,,,
czechia,"4,472",59,78,282,6,6,,,,,,,,,,,,
denmark,"4,258",161,"1,376",322,22,92,,,,,,,,,,,,
chile,"4,161",27,528,424,5,101,,,,,,,,,,,,
poland,"3,627",79,116,244,8,60,,,,,,,,,,,,
romania,"3,613",146,329,430,13,46,,,,,,,,,,,,
malaysia,"3,483",57,915,150,4,88,,,,,,,,,,,,
ecuador,"3,465",172,100,97,27,35,,,,,,,,,,,,
japan,"3,139",77,514,522,14,0,,,,,,,,,,,,
philippines,"3,094",144,57,76,8,5,,,,,,,,,,,,
india,"3,082",86,229,515,14,37,,,,,,,,,,,,
pakistan,"2,818",41,131,132,1,5,,,,,,,,,,,,
luxembourg,"2,729",31,500,117,0,0,,,,,,,,,,,,
saudi-arabia,"2,179",29,420,140,4,69,,,,,,,,,,,,
indonesia,"2,092",191,150,106,10,16,,,,,,,,,,,,
